asset,asset_class,risk_stars,expected_return_pct,impact_score,weight
Renewable energy infrastructure,Infrastructure,3,6.5,5,0.12776831345826237
Green bond fund,Bonds,2,4.5,5,0.12748438387279956
Global equity fund,Equities,3,7.5,3,0.11130039750141968
UK government bonds,Bonds,1,3.5,3,0.11073253833049405
UK equity fund,Equities,3,7.0,3,0.10675752413401476
Corporate bonds,Bonds,2,5.0,3,0.10647359454855196
Emerging market equities,Equities,5,11.0,2,0.09454855195911416
Cash deposit,Cash,1,2.0,2,0.08432708688245316
Commercial property fund,Property,4,6.0,2,0.06700738216922204
Commodities fund,Commodities,5,9.0,1,0.06360022714366838
