asset,asset_class,risk_stars,expected_return_pct,impact_score,weight
UK government bonds,Bonds,1,3.5,3,0.14250207125103564
Green bond fund,Bonds,2,4.5,5,0.1331123998895333
Cash deposit,Cash,1,2.0,2,0.12676056338028172
Corporate bonds,Bonds,2,5.0,3,0.12096106048053025
Renewable energy infrastructure,Infrastructure,3,6.5,5,0.1143330571665286
Global equity fund,Equities,3,7.5,3,0.10494338580502627
UK equity fund,Equities,3,7.0,3,0.10218171775752556
Commercial property fund,Property,4,6.0,2,0.05937586302126485
Emerging market equities,Equities,5,11.0,2,0.0571665285832643
Commodities fund,Commodities,5,9.0,1,0.03866335266500967
