asset,asset_class,risk_stars,expected_return_pct,impact_score,weight
Emerging market equities,Equities,5,11.0,2,0.14001728608470182
Global equity fund,Equities,3,7.5,3,0.11869778161912992
Renewable energy infrastructure,Infrastructure,3,6.5,5,0.11408815903197926
UK equity fund,Equities,3,7.0,3,0.11120714491501009
Commodities fund,Commodities,5,9.0,1,0.1048689138576779
Green bond fund,Bonds,2,4.5,5,0.09709017574186113
Corporate bonds,Bonds,2,5.0,3,0.09420916162489196
UK government bonds,Bonds,1,3.5,3,0.08470181503889368
Commercial property fund,Property,4,6.0,2,0.07807548256986459
Cash deposit,Cash,1,2.0,2,0.05704407951598963
