asset,asset_class,risk_stars,expected_return_pct,impact_score,weight
Renewable energy infrastructure,Infrastructure,3,6.5,5,0.15544041450777202
Green bond fund,Bonds,2,4.5,5,0.15198618307426598
Global equity fund,Equities,3,7.5,3,0.11053540587219343
UK equity fund,Equities,3,7.0,3,0.10708117443868738
UK government bonds,Bonds,1,3.5,3,0.10362694300518134
Corporate bonds,Bonds,2,5.0,3,0.10362694300518134
Emerging market equities,Equities,5,11.0,2,0.08808290155440414
Cash deposit,Cash,1,2.0,2,0.06735751295336788
Commercial property fund,Property,4,6.0,2,0.06390328151986183
Commodities fund,Commodities,5,9.0,1,0.048359240069084625
